Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-08,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0
2020-03-09,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,3.0
2020-03-10,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,5.0
2020-03-11,,,,,2.0,,0.0,2.0,,,,,,,,,,,,,,,1.0,,,,6.0
2020-03-12,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,1.0,,,,7.0
2020-03-13,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,2.0,,,,8.0
2020-03-14,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,,3.0,,3.0,1.0,,,12.0
2020-03-15,,,,,2.0,,0.0,4.0,,,,,,,,,,,,,6.0,,4.0,1.0,,,18.0
2020-03-16,,,,1.0,2.0,4.0,0.0,4.0,,,,,,,,,,,,,8.0,,5.0,2.0,,1.0,27.0
2020-03-17,,,,,2.0,4.0,0.0,4.0,,,,,,,,,,,,,10.0,,5.0,3.0,,,30.0
2020-03-18,,,,1.0,2.0,4.0,0.0,5.0,,1.0,,,,,,,,,,,14.0,,5.0,3.0,,,36.0
2020-03-19,,,,1.0,2.0,4.0,1.0,5.0,,1.0,,,,,,,,,,,15.0,,7.0,4.0,,3.0,43.0
2020-03-20,1.0,,,2.0,3.0,4.0,1.0,8.0,,3.0,,,2.0,,,,,,,,22.0,,12.0,6.0,,3.0,67.0
2020-03-21,,,1.0,3.0,3.0,5.0,2.0,10.0,,3.0,,1.0,2.0,,,,,,,,28.0,,15.0,7.0,,,84.0
2020-03-22,1.0,,,,3.0,5.0,3.0,9.0,,6.0,,1.0,2.0,,,,,,,,37.0,,16.0,10.0,,,100.0
2020-03-23,1.0,,1.0,5.0,3.0,5.0,4.0,9.0,,,,1.0,2.0,,,1.0,,1.0,,,48.0,,17.0,12.0,,5.0,121.0
2020-03-24,2.0,,2.0,6.0,4.0,5.0,5.0,12.0,,6.0,,2.0,2.0,,,,,1.0,,1.0,53.0,,21.0,13.0,,5.0,141.0
2020-03-25,2.0,,2.0,6.0,5.0,8.0,6.0,15.0,,6.0,,2.0,2.0,,,1.0,,1.0,,1.0,60.0,,21.0,14.0,,7.0,159.0
2020-03-26,2.0,,2.0,7.0,5.0,12.0,11.0,21.0,,9.0,,3.0,5.0,,,2.0,,1.0,1.0,1.0,67.0,,38.0,15.0,,9.0,211.0
2020-03-27,,,2.0,8.0,,13.0,,,,9.0,,3.0,5.0,,,,,1.0,1.0,1.0,76.0,,,,0.0,11.0,224.0
